model,dataset,layer,verified,hidden_dim,K_PC,cos_matched_full,cos_same_A_null,cos_full_full,E_PC_dref,E_null_dref,E_PC_dimp_full,E_null_dimp_full,random_E_PC,conc_dref,conc_dimp,cff_PC_PC,cff_null_null,cff_PC_PC_share,cff_null_null_share,sign_agreement_with_cff,n_harmful_verified,n_harmless_verified,source_dc_json
smollm2,math800,11,True,2048,100,0.05211815610527992,0.05537022650241852,0.10081594437360764,0.11401680475545506,0.8859831952445449,0.6594517827033997,0.3405483365058899,0.048828125,2.3350641613917196,13.505572509765624,0.07040160245681014,0.030414341916797493,0.6983181370192115,0.3016818629807885,True,23,50,experiments/direction_comparison_smollm2.json
smollm2,code800,11,True,2048,100,0.0475386343896389,0.05241306126117706,0.15361812710762024,0.17735142134696535,0.8226485786530346,0.8429749011993408,0.1570252627134323,0.048828125,3.6321571091858504,17.2641259765625,0.13478027139052814,0.018837855717092088,0.8773721821000013,0.12262781789999856,True,23,50,experiments/direction_comparison_smollm2_code800_L11.json
phi4mini,math800,14,True,3072,100,0.12368570268154144,0.13406416773796082,0.2524309456348419,0.14883536955034438,0.8511646304496556,0.8351540565490723,0.16484645009040833,0.032552083333333336,4.572222552586579,25.6559326171875,0.2022129585896209,0.05021798704522103,0.8010624770313832,0.1989375229686168,True,50,49,experiments/direction_comparison_phi4mini.json
phi4mini,code800,29,True,3072,100,0.07523879408836365,0.07970263063907623,0.11847427487373352,0.10887558898428629,0.8911244110157137,0.8376153707504272,0.1623842716217041,0.032552083333333336,3.3446580935972743,25.731544189453125,0.08815534929804517,0.030318925575688348,0.7440885322319855,0.2559114677680145,True,50,49,experiments/direction_comparison_phi4mini_code800_L29.json
gemma3_4b,math800,16,True,2560,100,0.12158448994159698,0.15407484769821167,0.5311519503593445,0.3772799340786034,0.6227200659213966,0.9205789566040039,0.07942230999469757,0.0390625,9.658366312412246,23.5668212890625,0.4968870530654917,0.03426489729385279,0.9354894634752423,0.06451053652475772,True,43,50,experiments/direction_comparison_gemma3_4b.json
gemma3_4b,code800,15,True,2560,100,0.08591996878385544,0.15281875431537628,0.7810835242271423,0.6838924195418548,0.3161075804581452,0.9761300086975098,0.023871537297964096,0.0390625,17.50764594027148,24.98892822265625,0.7678085311111702,0.013274993115972114,0.9830043872336095,0.016995612766390514,True,43,50,experiments/direction_comparison_gemma3_4b_code800_L15.json
mistral,math800,15,True,4096,100,0.12039528787136078,0.13129273056983948,0.2720494270324707,0.15911304029609397,0.840886959703906,0.8138169646263123,0.18618318438529968,0.0244140625,6.517270130528009,33.33394287109375,0.22010012505592932,0.05194930197654138,0.8090446190487991,0.1909553809512009,True,24,49,experiments/direction_comparison_mistral.json
mistral,code800,15,True,4096,100,0.08971355855464935,0.09930355846881866,0.2446238249540329,0.1838188798642605,0.8161811201357395,0.9210535287857056,0.07894784957170486,0.0244140625,7.52922131924011,37.7263525390625,0.21941641432552117,0.02520741062851173,0.8969543925934097,0.10304560740659024,True,24,49,experiments/direction_comparison_mistral_code800_L15.json
qwen3_8b,math800,21,True,4096,100,0.10881509631872177,0.11602137982845306,0.23792776465415955,0.12036551040629262,0.8796344895937074,0.8056892156600952,0.19431063532829285,0.0244140625,4.930171306241745,33.0010302734375,0.18996133020458777,0.047966434449571785,0.7983991716170936,0.2016008283829065,True,49,50,experiments/direction_comparison_qwen3_8b.json
qwen3_8b,code800,19,True,4096,100,0.1156361997127533,0.12392596155405045,0.27794545888900757,0.1293110629422909,0.8706889370577091,0.8253348469734192,0.17466486990451813,0.0244140625,5.296581138116235,33.80571533203125,0.22961770702405454,0.048327751864953014,0.8261250532456016,0.17387494675439838,True,49,50,experiments/direction_comparison_qwen3_8b_code800_L19.json
llama,math800,15,False,4096,100,0.06819628179073334,0.07711640000343323,0.2567569613456726,0.21796192407983106,0.7820380759201689,0.8233375549316406,0.1766621172428131,0.0244140625,8.927720410309881,33.72390625,0.22809325062940228,0.028663710716270337,0.8883624787969028,0.11163752120309721,True,9,50,experiments/direction_comparison_llama.json
llama,code800,15,False,4096,100,0.07203297317028046,0.07970282435417175,0.24391843378543854,0.18320088465457451,0.8167991153454255,0.8360849618911743,0.16391566395759583,0.0244140625,7.503908235451372,34.2460400390625,0.21475480448247802,0.029163629302960525,0.8804369606250664,0.11956303937493361,True,9,50,experiments/direction_comparison_llama_code800_L15.json
qwen3_14b,math800,25,True,5120,100,0.08034378290176392,0.08600220084190369,0.2510501742362976,0.1272589135841029,0.8727410864158971,0.8503834009170532,0.14961621165275574,0.01953125,6.515656375506069,43.53963012695313,0.21997299424061006,0.031077179995687543,0.8762112789197407,0.12378872108025929,True,44,50,experiments/direction_comparison_qwen3_14b.json
qwen3_14b,code800,24,True,5120,100,0.12962469458580017,0.13814671337604523,0.23420341312885284,0.11957092123632762,0.8804290787636724,0.7994415760040283,0.20055869221687317,0.01953125,6.1220311672999745,40.93140869140625,0.17615257549840976,0.05805083763044308,0.7521349631292309,0.2478650368707691,True,44,50,experiments/direction_comparison_qwen3_14b_code800_L24.json
olmo13b,math800,23,True,5120,100,0.10098354518413544,0.10568248480558395,0.19743362069129944,0.08694866730105166,0.9130513326989483,0.782465934753418,0.21753376722335815,0.01953125,4.451771765813845,40.062255859375,0.1503343747974195,0.04709924589387992,0.7614426270005821,0.23855737299941793,True,50,50,experiments/direction_comparison_olmo13b.json
olmo13b,code800,15,True,5120,100,0.09720592200756073,0.10122711956501007,0.10432133078575134,0.07787098015613259,0.9221290198438674,0.8221436142921448,0.17785677313804626,0.01953125,3.986994183993988,42.093753051757815,0.06332661042707824,0.04099472035867311,0.607034150639187,0.392965849360813,True,50,50,experiments/direction_comparison_olmo13b_code800_L15.json
mistral_small,math800,28,True,5120,100,0.06488395482301712,0.07108534127473831,0.12322898954153061,0.16686664717329114,0.8331333528267089,0.8667172193527222,0.13328276574611664,0.01953125,8.543572335272506,44.375921630859374,0.09954121224501576,0.02368777729651485,0.8077743119971653,0.19222568800283477,True,50,50,experiments/direction_comparison_mistral_small.json
